层,录波,注入候选接口,注入取值,注入边沿数,响应候选接口,响应取值,响应总边沿数,注入后窗口内边沿数,响应时刻_s,判读
net,average,env_1_Design/power/InPort/MC_motor_Torque_AND_speed.MC_busbar_current,min=2.00888e-106; max=0.00546823; distinct=547,25,env_1_Design/VCU/OutPort/GW_VCU_2.VCU_DCDCstCtrlReq.raw,"{0, 1}",2,1,4.534,仅时间相邻；需重复工况验证因果
net,average,env_1_Design/power/InPort/MC_motor_Torque_AND_speed.MC_busbar_current,min=2.00888e-106; max=0.00546823; distinct=547,25,env_1_Design/VCU/OutPort/GW_VCU_2.VCU_DCDCTarVolt.raw,"{0, 135}",2,1,4.534,仅时间相邻；需重复工况验证因果
net,average,env_1_Design/power/InPort/MC_motor_Torque_AND_speed.MC_busbar_current,min=2.00888e-106; max=0.00546823; distinct=547,25,env_1_Design/VCU/OutPort/GW_BMS_1.BMS_BattDisconnectWLS,"{Lamp OFF/Startup/Default, Lamp ON}",2,1,2.018,仅时间相邻；需重复工况验证因果
net,average,env_1_Design/power/InPort/MC_motor_Torque_AND_speed.MC_busbar_current,min=2.00888e-106; max=0.00546823; distinct=547,25,env_1_Design/VCU/OutPort/GW_BMS_1.BMS_BattDisconnectWLS.raw,"{0, 1}",2,1,2.018,仅时间相邻；需重复工况验证因果
net,average,env_1_Design/power/InPort/MC_motor_Torque_AND_speed.MC_busbar_current,min=2.00888e-106; max=0.00546823; distinct=547,25,env_1_Design/power/OutPort/VCU_BMS_Ctrl.VCU_BMS_target_state,"{HV_OK, LV_will_Poweroff, Precharge, Standby}",5,3,"1.125, 1.325, 1.725",仅时间相邻；需重复工况验证因果
net,average,env_1_Design/power/InPort/MC_motor_Torque_AND_speed.MC_busbar_current,min=2.00888e-106; max=0.00546823; distinct=547,25,env_1_Design/power/OutPort/VCU_BMS_Ctrl.VCU_charge_relay_control,"{All_Open, Inactive}",2,1,1.325,仅时间相邻；需重复工况验证因果
net,average,env_1_Design/power/InPort/MC_motor_Torque_AND_speed.MC_busbar_current,min=2.00888e-106; max=0.00546823; distinct=547,25,env_1_Design/power/OutPort/VCU_BMS_Ctrl.VCU_Discharge_relay_control,"{All_Open, Main_Negtive_Relay_Close, Main_Negtive_Relay_Close__Prech, _Main_Negtive_Relay_Close_Main_}",5,3,"1.325, 1.525, 1.725",仅时间相邻；需重复工况验证因果
net,average,env_1_Design/power/InPort/MC_motor_Torque_AND_speed.MC_busbar_current,min=2.00888e-106; max=0.00546823; distinct=547,25,env_1_Design/power/OutPort/VCU_BMS_Ctrl.VCU_BMS_target_state.raw,"{2, 3, 4, 7}",5,3,"1.125, 1.325, 1.725",仅时间相邻；需重复工况验证因果
net,average,env_1_Design/power/InPort/MC_motor_Torque_AND_speed.MC_busbar_current,min=2.00888e-106; max=0.00546823; distinct=547,25,env_1_Design/power/OutPort/VCU_BMS_Ctrl.VCU_charge_relay_control.raw,"{0, 7}",2,1,1.325,仅时间相邻；需重复工况验证因果
net,average,env_1_Design/power/InPort/MC_motor_Torque_AND_speed.MC_busbar_current,min=2.00888e-106; max=0.00546823; distinct=547,25,env_1_Design/power/OutPort/VCU_BMS_Ctrl.VCU_Discharge_relay_control.raw,"{0, 1, 2, 4}",5,3,"1.325, 1.525, 1.725",仅时间相邻；需重复工况验证因果
net,average,env_1_Design/power/InPort/MC_motor_Torque_AND_speed.MC_busbar_current,min=2.00888e-106; max=0.00546823; distinct=547,25,env_1_Design/power/OutPort/VCU_Geaeral_CAN1.VCU_BMSVCC_state,"{relay_closed, relay_open}",1,1,1.325,仅时间相邻；需重复工况验证因果
net,average,env_1_Design/power/InPort/MC_motor_Torque_AND_speed.MC_busbar_current,min=2.00888e-106; max=0.00546823; distinct=547,25,env_1_Design/power/OutPort/VCU_Geaeral_CAN1.VCU_BrakePedal_position,"{0, 100}",2,1,1.125,仅时间相邻；需重复工况验证因果
net,average,env_1_Design/power/InPort/MC_motor_Torque_AND_speed.MC_busbar_current,min=2.00888e-106; max=0.00546823; distinct=547,25,env_1_Design/power/OutPort/VCU_Geaeral_CAN1.VCU_Key_Position,"{OFF, ON}",1,1,1.125,仅时间相邻；需重复工况验证因果
net,average,env_1_Design/power/InPort/MC_motor_Torque_AND_speed.MC_busbar_current,min=2.00888e-106; max=0.00546823; distinct=547,25,env_1_Design/power/OutPort/VCU_Geaeral_CAN1.VCU_MCVCC_state,"{relay_closed, relay_open}",1,1,1.325,仅时间相邻；需重复工况验证因果
net,average,env_1_Design/power/InPort/MC_motor_Torque_AND_speed.MC_busbar_current,min=2.00888e-106; max=0.00546823; distinct=547,25,env_1_Design/power/OutPort/VCU_Geaeral_CAN1.VCU_OBCVCC_state,"{relay_closed, relay_open}",1,1,1.325,仅时间相邻；需重复工况验证因果
net,average,env_1_Design/power/InPort/MC_motor_Torque_AND_speed.MC_busbar_current,min=2.00888e-106; max=0.00546823; distinct=547,25,env_1_Design/power/OutPort/VCU_Geaeral_CAN1.VCU_Vehicle_status,"{HV_OK, LV_will_Poweroff, Precharge, Standby}",4,2,"1.325, 1.925",仅时间相邻；需重复工况验证因果
net,average,env_1_Design/power/InPort/MC_motor_Torque_AND_speed.MC_busbar_current,min=2.00888e-106; max=0.00546823; distinct=547,25,env_1_Design/power/OutPort/VCU_Geaeral_CAN1.VCU_BMSVCC_state.raw,"{0, 1}",1,1,1.325,仅时间相邻；需重复工况验证因果
net,average,env_1_Design/power/InPort/MC_motor_Torque_AND_speed.MC_busbar_current,min=2.00888e-106; max=0.00546823; distinct=547,25,env_1_Design/power/OutPort/VCU_Geaeral_CAN1.VCU_BrakePedal_position.raw,"{0, 100}",2,1,1.125,仅时间相邻；需重复工况验证因果
net,average,env_1_Design/power/InPort/MC_motor_Torque_AND_speed.MC_busbar_current,min=2.00888e-106; max=0.00546823; distinct=547,25,env_1_Design/power/OutPort/VCU_Geaeral_CAN1.VCU_Key_Position.raw,"{0, 2}",1,1,1.125,仅时间相邻；需重复工况验证因果
net,average,env_1_Design/power/InPort/MC_motor_Torque_AND_speed.MC_busbar_current,min=2.00888e-106; max=0.00546823; distinct=547,25,env_1_Design/power/OutPort/VCU_Geaeral_CAN1.VCU_MCVCC_state.raw,"{0, 1}",1,1,1.325,仅时间相邻；需重复工况验证因果
net,average,env_1_Design/power/InPort/MC_motor_Torque_AND_speed.MC_busbar_current,min=2.00888e-106; max=0.00546823; distinct=547,25,env_1_Design/power/OutPort/VCU_Geaeral_CAN1.VCU_OBCVCC_state.raw,"{0, 1}",1,1,1.325,仅时间相邻；需重复工况验证因果
net,average,env_1_Design/power/InPort/MC_motor_Torque_AND_speed.MC_busbar_current,min=2.00888e-106; max=0.00546823; distinct=547,25,env_1_Design/power/OutPort/VCU_Geaeral_CAN1.VCU_Vehicle_status.raw,"{2, 3, 4, 7}",4,2,"1.325, 1.925",仅时间相邻；需重复工况验证因果
net,average,env_1_Design/power/InPort/MC_motor_Torque_AND_speed.MC_busbar_current,min=2.00888e-106; max=0.00546823; distinct=547,25,env_1_Design/power/OutPort/VCU_MC_TrqCtrl.VCU_MC_target_state,"{HV_OK, LV_will_Poweroff, Precharge, Standby}",6,3,"1.125, 1.325, 1.725",仅时间相邻；需重复工况验证因果
net,average,env_1_Design/power/InPort/MC_motor_Torque_AND_speed.MC_busbar_current,min=2.00888e-106; max=0.00546823; distinct=547,25,env_1_Design/power/OutPort/VCU_MC_TrqCtrl.VCU_MC_target_state.raw,"{2, 3, 4, 7}",6,3,"1.125, 1.325, 1.725",仅时间相邻；需重复工况验证因果
net,average,env_1_Design/power/InPort/MC_motor_Torque_AND_speed.MC_busbar_Voltage,min=0; max=397.819; distinct=40,20,env_1_Design/VCU/OutPort/GW_ABS_1.VehicleSpeedVSOSig,"{0, 0.125, 0.375, 0.4375}",3,2,"1.260, 1.460",仅时间相邻；需重复工况验证因果
net,average,env_1_Design/power/InPort/MC_motor_Torque_AND_speed.MC_busbar_Voltage,min=0; max=397.819; distinct=40,20,env_1_Design/VCU/OutPort/GW_ABS_1.VehicleSpeedVSOSig.raw,"{0, 2, 6, 7}",3,2,"1.260, 1.460",仅时间相邻；需重复工况验证因果
net,average,env_1_Design/power/InPort/MC_motor_Torque_AND_speed.MC_busbar_Voltage,min=0; max=397.819; distinct=40,20,env_1_Design/VCU/OutPort/GW_ABS_G.VehicleSpeedVSOSig,"{0, 0.125, 0.375, 0.4375}",3,2,"1.260, 1.460",仅时间相邻；需重复工况验证因果
net,average,env_1_Design/power/InPort/MC_motor_Torque_AND_speed.MC_busbar_Voltage,min=0; max=397.819; distinct=40,20,env_1_Design/VCU/OutPort/GW_ABS_G.VehicleSpeedVSOSig.raw,"{0, 2, 6, 7}",3,2,"1.260, 1.460",仅时间相邻；需重复工况验证因果
net,average,env_1_Design/power/InPort/MC_motor_Torque_AND_speed.MC_busbar_Voltage,min=0; max=397.819; distinct=40,20,env_1_Design/VCU/OutPort/GW_MCU_1.MCU_MotorSpeed,"{0, 1, 9, 24, 38}",4,3,"1.334, 1.534, 1.734",仅时间相邻；需重复工况验证因果
net,average,env_1_Design/power/InPort/MC_motor_Torque_AND_speed.MC_busbar_Voltage,min=0; max=397.819; distinct=40,20,env_1_Design/VCU/OutPort/GW_MCU_1.MCU_SpeedVechile,"{0, 0.1, 0.3, 0.5}",3,2,"1.334, 1.534",仅时间相邻；需重复工况验证因果
net,average,env_1_Design/power/InPort/MC_motor_Torque_AND_speed.MC_busbar_Voltage,min=0; max=397.819; distinct=40,20,env_1_Design/VCU/OutPort/GW_MCU_1.MCU_MotorSpeed.raw,"{20000, 20001, 20009, 20024, 20038}",4,3,"1.334, 1.534, 1.734",仅时间相邻；需重复工况验证因果
net,average,env_1_Design/power/InPort/MC_motor_Torque_AND_speed.MC_busbar_Voltage,min=0; max=397.819; distinct=40,20,env_1_Design/VCU/OutPort/GW_MCU_1.MCU_SpeedVechile.raw,"{2000, 2001, 2003, 2005}",3,2,"1.334, 1.534",仅时间相邻；需重复工况验证因果
net,average,env_1_Design/power/InPort/MC_motor_Torque_AND_speed.MC_busbar_Voltage,min=0; max=397.819; distinct=40,20,env_1_Design/VCU/OutPort/GW_VCU_1.VCU_bBrakeSt,"{Braking, Not braking}",2,1,5.334,仅时间相邻；需重复工况验证因果
net,average,env_1_Design/power/InPort/MC_motor_Torque_AND_speed.MC_busbar_Voltage,min=0; max=397.819; distinct=40,20,env_1_Design/VCU/OutPort/GW_VCU_1.VCU_bReadyLightSts,"{Lamp OFF/Startup/Default, Lamp ON}",2,1,1.934,仅时间相邻；需重复工况验证因果
net,average,env_1_Design/power/InPort/MC_motor_Torque_AND_speed.MC_busbar_Voltage,min=0; max=397.819; distinct=40,20,env_1_Design/VCU/OutPort/GW_VCU_1.VCU_VehicleSpeedVSOSig,"{0, 0.125, 0.3125, 0.4375}",3,2,"1.334, 1.534",仅时间相邻；需重复工况验证因果
net,average,env_1_Design/power/InPort/MC_motor_Torque_AND_speed.MC_busbar_Voltage,min=0; max=397.819; distinct=40,20,env_1_Design/VCU/OutPort/GW_VCU_1.VCU_bBrakeSt.raw,"{0, 1}",2,1,5.334,仅时间相邻；需重复工况验证因果
net,average,env_1_Design/power/InPort/MC_motor_Torque_AND_speed.MC_busbar_Voltage,min=0; max=397.819; distinct=40,20,env_1_Design/VCU/OutPort/GW_VCU_1.VCU_bReadyLightSts.raw,"{0, 1}",2,1,1.934,仅时间相邻；需重复工况验证因果
net,average,env_1_Design/power/InPort/MC_motor_Torque_AND_speed.MC_busbar_Voltage,min=0; max=397.819; distinct=40,20,env_1_Design/VCU/OutPort/GW_VCU_1.VCU_VehicleSpeedVSOSig.raw,"{0, 2, 5, 7}",3,2,"1.334, 1.534",仅时间相邻；需重复工况验证因果
net,average,env_1_Design/power/InPort/MC_motor_Torque_AND_speed.MC_busbar_Voltage,min=0; max=397.819; distinct=40,20,env_1_Design/VCU/OutPort/GW_VCU_2.VCU_DCDCstCtrlReq,"{Disabled/Startup, Enabled}",2,1,4.534,仅时间相邻；需重复工况验证因果
net,average,env_1_Design/power/InPort/MC_motor_Torque_AND_speed.MC_busbar_Voltage,min=0; max=397.819; distinct=40,20,env_1_Design/VCU/OutPort/GW_VCU_2.VCU_DCDCTarVolt,"{0, 13.5}",2,1,4.534,仅时间相邻；需重复工况验证因果
net,average,env_1_Design/power/InPort/MC_motor_Torque_AND_speed.MC_busbar_Voltage,min=0; max=397.819; distinct=40,20,env_1_Design/VCU/OutPort/GW_VCU_2.VCU_DCDCstCtrlReq.raw,"{0, 1}",2,1,4.534,仅时间相邻；需重复工况验证因果
net,average,env_1_Design/power/InPort/MC_motor_Torque_AND_speed.MC_busbar_Voltage,min=0; max=397.819; distinct=40,20,env_1_Design/VCU/OutPort/GW_VCU_2.VCU_DCDCTarVolt.raw,"{0, 135}",2,1,4.534,仅时间相邻；需重复工况验证因果
net,average,env_1_Design/power/InPort/MC_motor_Torque_AND_speed.MC_busbar_Voltage,min=0; max=397.819; distinct=40,20,env_1_Design/VCU/OutPort/GW_BMS_1.BMS_BattDisconnectWLS,"{Lamp OFF/Startup/Default, Lamp ON}",2,1,2.018,仅时间相邻；需重复工况验证因果
net,average,env_1_Design/power/InPort/MC_motor_Torque_AND_speed.MC_busbar_Voltage,min=0; max=397.819; distinct=40,20,env_1_Design/VCU/OutPort/GW_BMS_1.BMS_BattDisconnectWLS.raw,"{0, 1}",2,1,2.018,仅时间相邻；需重复工况验证因果
net,average,env_1_Design/power/InPort/MC_motor_Torque_AND_speed.MC_busbar_Voltage,min=0; max=397.819; distinct=40,20,env_1_Design/power/OutPort/VCU_BMS_Ctrl.VCU_BMS_target_state,"{HV_OK, LV_will_Poweroff, Precharge, Standby}",5,2,"1.325, 1.725",仅时间相邻；需重复工况验证因果
net,average,env_1_Design/power/InPort/MC_motor_Torque_AND_speed.MC_busbar_Voltage,min=0; max=397.819; distinct=40,20,env_1_Design/power/OutPort/VCU_BMS_Ctrl.VCU_charge_relay_control,"{All_Open, Inactive}",2,1,1.325,仅时间相邻；需重复工况验证因果
net,average,env_1_Design/power/InPort/MC_motor_Torque_AND_speed.MC_busbar_Voltage,min=0; max=397.819; distinct=40,20,env_1_Design/power/OutPort/VCU_BMS_Ctrl.VCU_Discharge_relay_control,"{All_Open, Main_Negtive_Relay_Close, Main_Negtive_Relay_Close__Prech, _Main_Negtive_Relay_Close_Main_}",5,3,"1.325, 1.525, 1.725",仅时间相邻；需重复工况验证因果
net,average,env_1_Design/power/InPort/MC_motor_Torque_AND_speed.MC_busbar_Voltage,min=0; max=397.819; distinct=40,20,env_1_Design/power/OutPort/VCU_BMS_Ctrl.VCU_BMS_target_state.raw,"{2, 3, 4, 7}",5,2,"1.325, 1.725",仅时间相邻；需重复工况验证因果
net,average,env_1_Design/power/InPort/MC_motor_Torque_AND_speed.MC_busbar_Voltage,min=0; max=397.819; distinct=40,20,env_1_Design/power/OutPort/VCU_BMS_Ctrl.VCU_charge_relay_control.raw,"{0, 7}",2,1,1.325,仅时间相邻；需重复工况验证因果
net,average,env_1_Design/power/InPort/MC_motor_Torque_AND_speed.MC_busbar_Voltage,min=0; max=397.819; distinct=40,20,env_1_Design/power/OutPort/VCU_BMS_Ctrl.VCU_Discharge_relay_control.raw,"{0, 1, 2, 4}",5,3,"1.325, 1.525, 1.725",仅时间相邻；需重复工况验证因果
net,average,env_1_Design/power/InPort/MC_motor_Torque_AND_speed.MC_busbar_Voltage,min=0; max=397.819; distinct=40,20,env_1_Design/power/OutPort/VCU_Geaeral_CAN1.VCU_BMSVCC_state,"{relay_closed, relay_open}",1,1,1.325,仅时间相邻；需重复工况验证因果
net,average,env_1_Design/power/InPort/MC_motor_Torque_AND_speed.MC_busbar_Voltage,min=0; max=397.819; distinct=40,20,env_1_Design/power/OutPort/VCU_Geaeral_CAN1.VCU_BrakePedal_position,"{0, 100}",2,1,5.325,仅时间相邻；需重复工况验证因果
net,average,env_1_Design/power/InPort/MC_motor_Torque_AND_speed.MC_busbar_Voltage,min=0; max=397.819; distinct=40,20,env_1_Design/power/OutPort/VCU_Geaeral_CAN1.VCU_MCVCC_state,"{relay_closed, relay_open}",1,1,1.325,仅时间相邻；需重复工况验证因果
net,average,env_1_Design/power/InPort/MC_motor_Torque_AND_speed.MC_busbar_Voltage,min=0; max=397.819; distinct=40,20,env_1_Design/power/OutPort/VCU_Geaeral_CAN1.VCU_OBCVCC_state,"{relay_closed, relay_open}",1,1,1.325,仅时间相邻；需重复工况验证因果
net,average,env_1_Design/power/InPort/MC_motor_Torque_AND_speed.MC_busbar_Voltage,min=0; max=397.819; distinct=40,20,env_1_Design/power/OutPort/VCU_Geaeral_CAN1.VCU_Vehicle_status,"{HV_OK, LV_will_Poweroff, Precharge, Standby}",4,2,"1.325, 1.925",仅时间相邻；需重复工况验证因果
net,average,env_1_Design/power/InPort/MC_motor_Torque_AND_speed.MC_busbar_Voltage,min=0; max=397.819; distinct=40,20,env_1_Design/power/OutPort/VCU_Geaeral_CAN1.VCU_BMSVCC_state.raw,"{0, 1}",1,1,1.325,仅时间相邻；需重复工况验证因果
net,average,env_1_Design/power/InPort/MC_motor_Torque_AND_speed.MC_busbar_Voltage,min=0; max=397.819; distinct=40,20,env_1_Design/power/OutPort/VCU_Geaeral_CAN1.VCU_BrakePedal_position.raw,"{0, 100}",2,1,5.325,仅时间相邻；需重复工况验证因果
net,average,env_1_Design/power/InPort/MC_motor_Torque_AND_speed.MC_busbar_Voltage,min=0; max=397.819; distinct=40,20,env_1_Design/power/OutPort/VCU_Geaeral_CAN1.VCU_MCVCC_state.raw,"{0, 1}",1,1,1.325,仅时间相邻；需重复工况验证因果
net,average,env_1_Design/power/InPort/MC_motor_Torque_AND_speed.MC_busbar_Voltage,min=0; max=397.819; distinct=40,20,env_1_Design/power/OutPort/VCU_Geaeral_CAN1.VCU_OBCVCC_state.raw,"{0, 1}",1,1,1.325,仅时间相邻；需重复工况验证因果
net,average,env_1_Design/power/InPort/MC_motor_Torque_AND_speed.MC_busbar_Voltage,min=0; max=397.819; distinct=40,20,env_1_Design/power/OutPort/VCU_Geaeral_CAN1.VCU_Vehicle_status.raw,"{2, 3, 4, 7}",4,2,"1.325, 1.925",仅时间相邻；需重复工况验证因果
net,average,env_1_Design/power/InPort/MC_motor_Torque_AND_speed.MC_busbar_Voltage,min=0; max=397.819; distinct=40,20,env_1_Design/power/OutPort/VCU_MC_TrqCtrl.VCU_MC_target_state,"{HV_OK, LV_will_Poweroff, Precharge, Standby}",6,2,"1.325, 1.725",仅时间相邻；需重复工况验证因果
net,average,env_1_Design/power/InPort/MC_motor_Torque_AND_speed.MC_busbar_Voltage,min=0; max=397.819; distinct=40,20,env_1_Design/power/OutPort/VCU_MC_TrqCtrl.VCU_MC_target_state.raw,"{2, 3, 4, 7}",6,2,"1.325, 1.725",仅时间相邻；需重复工况验证因果
